date,weekday,holiday,ili_index,fast_track_open,visits,ems_arrivals,esi_1_2,admissions,lwbs,lwbs_rate,median_door_to_provider_min,p90_door_to_provider_min,median_ed_los_min,boarding_hours,mean_inpatient_occupancy_pct
2025-09-09,Tuesday,0,0.892,1,112,37,34,32,3,0.0268,30.0,68.0,240.0,34.6,80.8
2025-09-10,Wednesday,0,0.894,1,155,43,26,19,2,0.0129,39.0,87.0,212.0,20.0,83.1
2025-09-11,Thursday,0,0.896,1,96,24,23,28,1,0.0104,30.0,66.0,224.0,40.0,85.8
2025-09-12,Friday,0,0.897,1,102,23,32,22,3,0.0294,30.0,73.0,245.0,16.0,79.8
2025-09-13,Saturday,0,0.899,1,110,23,23,30,1,0.0091,30.0,68.0,232.0,29.2,78.4
2025-09-14,Sunday,0,0.901,1,84,22,17,16,1,0.0119,27.0,63.0,206.0,7.9,73.7
2025-09-15,Monday,0,0.903,1,122,34,23,19,0,0.0,33.0,75.0,220.0,17.6,79.0
2025-09-16,Tuesday,0,0.905,1,99,30,14,18,0,0.0,41.0,99.0,209.0,16.0,80.7
2025-09-17,Wednesday,0,0.907,1,75,13,18,16,3,0.04,28.0,72.0,194.0,12.7,82.7
2025-09-18,Thursday,0,0.909,1,97,28,16,22,2,0.0206,30.0,64.0,197.0,23.3,84.1
2025-09-19,Friday,0,0.911,1,87,22,18,19,0,0.0,31.0,72.0,212.0,35.0,87.6
2025-09-20,Saturday,0,0.913,1,102,19,10,17,1,0.0098,37.0,82.0,232.0,19.1,84.9
2025-09-21,Sunday,0,0.916,1,99,22,18,20,0,0.0,32.0,67.0,210.0,24.4,85.3
2025-09-22,Monday,0,0.918,1,118,29,27,24,2,0.0169,33.0,71.0,248.0,35.2,89.1
2025-09-23,Tuesday,0,0.92,1,80,17,15,17,2,0.025,31.0,60.0,210.0,21.0,85.4
2025-09-24,Wednesday,0,0.922,1,113,30,26,21,0,0.0,31.0,73.0,222.0,28.8,85.1
2025-09-25,Thursday,0,0.924,1,88,24,19,15,3,0.0341,31.0,58.0,205.0,21.8,85.5
2025-09-26,Friday,0,0.926,1,96,16,11,21,2,0.0208,32.0,80.0,258.0,42.2,88.9
2025-09-27,Saturday,0,0.929,1,101,19,19,16,2,0.0198,31.0,68.0,202.0,13.7,83.1
2025-09-28,Sunday,0,0.931,1,123,29,26,23,1,0.0081,32.0,63.0,242.0,33.4,85.1
2025-09-29,Monday,0,0.933,1,126,27,22,20,2,0.0159,36.0,82.0,230.0,20.0,86.5
2025-09-30,Tuesday,0,0.936,1,127,29,21,21,1,0.0079,34.0,68.0,188.0,28.7,83.8
2025-10-01,Wednesday,0,0.938,1,111,20,16,21,4,0.036,34.0,71.0,211.0,32.9,85.8
2025-10-02,Thursday,0,0.94,1,125,24,26,26,1,0.008,35.0,82.0,237.0,38.4,87.3
2025-10-03,Friday,0,0.943,1,105,30,21,23,2,0.019,32.0,69.0,198.0,28.6,84.6
2025-10-04,Saturday,0,0.945,1,92,24,26,17,0,0.0,32.0,71.0,234.0,10.0,73.8
2025-10-05,Sunday,0,0.948,1,125,25,23,29,0,0.0,34.0,69.0,201.0,15.4,74.7
2025-10-06,Monday,0,0.95,1,136,34,27,28,1,0.0074,42.0,80.0,222.0,33.7,85.9
2025-10-07,Tuesday,0,0.952,1,124,34,24,23,3,0.0242,34.0,81.0,222.0,42.3,88.2
2025-10-08,Wednesday,0,0.955,1,119,27,24,27,0,0.0,36.0,79.0,228.0,54.9,90.0
2025-10-09,Thursday,0,0.957,1,134,32,23,24,2,0.0149,38.0,90.0,234.0,45.1,90.8
2025-10-10,Friday,0,0.96,1,130,28,17,27,4,0.0308,36.0,74.0,209.0,52.8,89.4
2025-10-11,Saturday,0,0.962,1,110,25,19,21,1,0.0091,38.0,75.0,216.0,21.8,85.2
2025-10-12,Sunday,0,0.965,1,126,33,21,22,0,0.0,33.0,65.0,210.0,35.5,88.6
2025-10-13,Monday,1,0.967,1,100,21,23,18,1,0.01,30.0,58.0,210.0,35.3,89.6
2025-10-14,Tuesday,0,0.97,1,171,49,39,43,2,0.0117,39.0,97.0,244.0,89.2,92.4
2025-10-15,Wednesday,0,0.972,1,119,31,22,29,2,0.0168,33.0,72.0,229.0,73.6,91.9
2025-10-16,Thursday,0,0.975,1,102,27,20,23,1,0.0098,30.0,74.0,210.0,45.8,88.0
2025-10-17,Friday,0,0.977,1,133,35,24,30,1,0.0075,36.0,88.0,222.0,47.8,88.0
2025-10-18,Saturday,0,0.98,1,100,21,17,16,1,0.01,34.0,67.0,194.0,21.6,85.0
2025-10-19,Sunday,0,0.983,1,128,28,25,34,0,0.0,35.0,67.0,239.0,45.3,84.7
2025-10-20,Monday,0,0.985,1,121,28,30,26,4,0.0331,33.0,75.0,237.0,31.8,86.0
2025-10-21,Tuesday,0,0.988,1,116,21,16,24,1,0.0086,39.0,92.0,222.0,25.4,83.1
2025-10-22,Wednesday,0,0.99,1,156,37,26,23,1,0.0064,42.0,84.0,206.0,22.7,81.8
2025-10-23,Thursday,0,0.993,1,101,17,23,22,0,0.0,33.0,86.0,211.0,20.7,82.2
2025-10-24,Friday,0,0.995,1,114,29,23,21,2,0.0175,38.0,70.0,228.0,23.1,81.4
2025-10-25,Saturday,0,0.998,1,126,26,21,22,2,0.0159,36.0,93.0,214.0,20.2,82.0
2025-10-26,Sunday,0,1.001,1,78,18,19,26,0,0.0,26.0,68.0,219.0,24.5,82.3
2025-10-27,Monday,0,1.003,1,143,33,33,31,3,0.021,36.0,80.0,237.0,37.9,83.6
2025-10-28,Tuesday,0,1.006,1,110,37,16,19,3,0.0273,31.0,80.0,250.0,42.4,87.7
2025-10-29,Wednesday,0,1.008,1,136,30,24,31,1,0.0074,38.0,80.0,233.0,56.8,88.3
2025-10-30,Thursday,0,1.011,1,103,32,19,22,0,0.0,35.0,79.0,238.0,36.0,88.8
2025-10-31,Friday,0,1.014,1,119,36,30,25,2,0.0168,32.0,75.0,239.0,42.0,88.9
2025-11-01,Saturday,0,1.016,1,117,33,24,25,1,0.0085,31.0,77.0,207.0,41.7,87.3
2025-11-02,Sunday,0,1.019,1,109,26,11,14,2,0.0183,40.0,89.0,220.0,26.7,88.7
2025-11-03,Monday,0,1.021,1,135,32,22,20,1,0.0074,42.0,81.0,211.0,47.4,94.8
2025-11-04,Tuesday,0,1.024,1,136,38,24,35,4,0.0294,40.0,95.0,284.0,100.0,95.2
2025-11-05,Wednesday,0,1.026,1,94,28,22,21,1,0.0106,34.0,81.0,248.0,64.1,95.4
2025-11-06,Thursday,0,1.029,1,129,28,18,27,5,0.0388,40.0,79.0,238.0,72.4,94.8
2025-11-07,Friday,0,1.031,1,127,28,29,27,2,0.0157,40.0,88.0,236.0,60.8,91.7
2025-11-08,Saturday,0,1.034,1,117,27,18,19,0,0.0,34.0,76.0,215.0,30.3,87.3
2025-11-09,Sunday,0,1.036,1,133,31,27,33,2,0.015,31.0,75.0,231.0,53.8,87.4
2025-11-10,Monday,0,1.039,1,118,30,18,18,0,0.0,35.0,86.0,212.0,23.4,86.9
2025-11-11,Tuesday,1,1.041,1,89,24,17,22,0,0.0,29.0,63.0,186.0,22.6,84.4
2025-11-12,Wednesday,0,1.044,1,149,35,28,30,2,0.0134,38.0,97.0,235.0,29.1,81.8
2025-11-13,Thursday,0,1.046,1,135,21,23,22,0,0.0,37.0,79.0,188.0,20.5,82.6
2025-11-14,Friday,0,1.049,1,111,29,22,26,1,0.009,33.0,64.0,231.0,34.5,86.5
2025-11-15,Saturday,0,1.051,1,125,29,23,25,2,0.016,34.0,78.0,251.0,27.0,83.1
2025-11-16,Sunday,0,1.054,1,104,21,17,20,2,0.0192,34.0,73.0,224.0,20.6,82.7
2025-11-17,Monday,0,1.056,1,156,35,28,26,3,0.0192,35.0,85.0,212.0,37.1,87.6
2025-11-18,Tuesday,0,1.058,1,123,27,17,23,2,0.0163,35.0,81.0,210.0,35.4,88.1
2025-11-19,Wednesday,0,1.061,1,134,36,27,33,5,0.0373,36.0,76.0,230.0,47.5,86.9
2025-11-20,Thursday,0,1.063,1,135,23,25,25,0,0.0,34.0,86.0,210.0,31.6,85.8
2025-11-21,Friday,0,1.065,1,142,25,24,20,4,0.0282,32.0,72.0,202.0,28.0,86.1
2025-11-22,Saturday,0,1.068,1,120,24,26,24,1,0.0083,35.0,71.0,214.0,35.1,84.2
2025-11-23,Sunday,0,1.07,1,150,38,27,23,4,0.0267,38.0,84.0,217.0,45.4,85.8
2025-11-24,Monday,0,1.072,1,121,19,18,23,1,0.0083,37.0,91.0,221.0,55.2,92.0
2025-11-25,Tuesday,0,1.075,1,165,37,29,34,1,0.0061,44.0,93.0,242.0,117.2,95.7
2025-11-26,Wednesday,0,1.077,1,117,31,20,22,3,0.0256,40.0,83.0,229.0,65.2,96.6
2025-11-27,Thursday,1,1.079,1,100,28,19,23,0,0.0,38.0,88.0,266.0,64.2,96.4
2025-11-28,Friday,0,1.081,1,153,37,28,25,1,0.0065,36.0,69.0,212.0,58.4,93.8
2025-11-29,Saturday,0,1.083,1,101,22,13,16,1,0.0099,33.0,68.0,203.0,43.4,92.7
2025-11-30,Sunday,0,1.086,1,139,44,30,28,2,0.0144,32.0,68.0,236.0,64.4,92.1
2025-12-01,Monday,0,1.088,1,164,39,33,33,1,0.0061,40.0,99.0,253.0,87.1,93.4
2025-12-02,Tuesday,0,1.09,1,141,32,24,26,2,0.0142,41.0,83.0,212.0,33.9,86.8
2025-12-03,Wednesday,0,1.092,1,202,55,36,35,3,0.0149,37.0,88.0,222.0,44.0,86.4
2025-12-04,Thursday,0,1.094,1,144,38,27,27,5,0.0347,39.0,83.0,198.0,36.5,87.6
2025-12-05,Friday,0,1.096,1,147,33,27,33,1,0.0068,36.0,98.0,214.0,37.1,84.9
2025-12-06,Saturday,0,1.098,1,136,29,20,28,2,0.0147,32.0,71.0,185.0,24.9,81.4
2025-12-07,Sunday,0,1.1,1,152,36,30,29,3,0.0197,40.0,89.0,216.0,29.5,82.8
2025-12-08,Monday,0,1.102,1,124,26,18,20,3,0.0242,35.0,76.0,202.0,51.8,92.0
2025-12-09,Tuesday,0,1.104,1,140,31,34,29,4,0.0286,34.0,82.0,214.0,53.1,89.7
2025-12-10,Wednesday,0,1.105,1,132,31,30,27,3,0.0227,37.0,79.0,220.0,50.2,88.3
2025-12-11,Thursday,0,1.107,1,126,37,22,21,3,0.0238,34.0,80.0,242.0,48.1,89.7
2025-12-12,Friday,0,1.109,1,157,44,30,31,7,0.0446,38.0,90.0,217.0,44.0,87.7
2025-12-13,Saturday,0,1.111,1,127,33,29,23,1,0.0079,30.0,69.0,210.0,41.1,86.3
2025-12-14,Sunday,0,1.112,1,127,23,25,24,3,0.0236,35.0,71.0,222.0,27.5,85.6
2025-12-15,Monday,0,1.114,1,124,31,26,22,2,0.0161,36.0,73.0,216.0,42.2,90.2
2025-12-16,Tuesday,0,1.116,1,169,38,29,28,9,0.0533,40.0,79.0,233.0,48.0,88.3
2025-12-17,Wednesday,0,1.117,1,134,36,28,23,5,0.0373,38.0,105.0,218.0,48.2,89.9
2025-12-18,Thursday,0,1.119,1,195,41,28,39,3,0.0154,41.0,90.0,215.0,88.1,92.7
2025-12-19,Friday,0,1.121,1,181,40,31,38,3,0.0166,36.0,91.0,214.0,79.8,91.2
2025-12-20,Saturday,0,1.122,1,123,28,19,25,2,0.0163,31.0,67.0,227.0,49.2,91.5
2025-12-21,Sunday,0,1.124,1,102,23,23,19,2,0.0196,33.0,81.0,255.0,43.1,94.7
2025-12-22,Monday,0,1.125,1,140,30,26,20,2,0.0143,37.0,75.0,234.0,62.3,96.1
2025-12-23,Tuesday,0,1.126,1,133,29,31,18,2,0.015,35.0,91.0,239.0,53.0,94.8
2025-12-24,Wednesday,0,1.128,1,159,34,29,25,3,0.0189,38.0,84.0,221.0,65.2,93.5
2025-12-25,Thursday,1,1.129,1,90,10,11,15,0,0.0,33.0,75.0,198.0,40.2,97.2
2025-12-26,Friday,0,1.13,1,148,35,33,34,1,0.0068,36.0,90.0,242.0,129.7,98.4
2025-12-27,Saturday,0,1.132,1,110,28,19,21,0,0.0,36.0,70.0,215.0,68.6,95.9
2025-12-28,Sunday,0,1.133,1,128,23,28,28,3,0.0234,33.0,62.0,232.0,100.2,96.9
2025-12-29,Monday,0,1.134,1,104,27,19,25,1,0.0096,35.0,79.0,221.0,75.0,98.0
2025-12-30,Tuesday,0,1.135,1,137,39,33,22,2,0.0146,39.0,95.0,229.0,70.1,96.3
2025-12-31,Wednesday,0,1.136,1,148,30,32,23,3,0.0203,40.0,95.0,231.0,74.2,97.2
